time,dt,pos_x,pos_y,pos_z,vel_body_x,vel_body_y,vel_body_z,acc_x,acc_y,acc_z,ang_vel_x,ang_vel_y,ang_vel_z,ang_acc_x,ang_acc_y,ang_acc_z,roll,pitch,yaw,qw,qx,qy,qz,pwm_1,pwm_2,pwm_3,pwm_4,total_thrust,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,trajectory_type
0.000000,0.000000,0.025783,-0.048365,-2.007474,0.027702,-0.122513,0.031016,0.008608,0.002268,-9.871634,-0.001702,0.011003,0.006692,-0.003087,0.010308,0.005971,0.009469,-0.028679,1.538768,0.718210,0.013376,-0.007006,0.695662,0.732700,0.731003,0.732363,0.730868,2.926934,-0.731759,-0.001573,0.015341,0.006315,
0.009830,0.009830,0.026021,-0.049240,-2.007020,0.026687,-0.117142,0.029932,0.018704,0.005332,-9.872339,-0.002255,0.012365,0.006091,-0.002634,0.012136,0.005791,0.009430,-0.028524,1.538711,0.718232,0.013308,-0.006965,0.695642,0.732461,0.731237,0.732025,0.731208,2.926930,-0.731771,-0.001665,0.016484,0.006319,
0.019866,0.010036,0.026128,-0.049597,-2.006806,0.026148,-0.114363,0.029404,0.020514,0.007568,-9.878078,-0.002178,0.013798,0.006103,-0.001774,0.014607,0.005846,0.009413,-0.028429,1.538685,0.718241,0.013269,-0.006937,0.695633,0.732572,0.731206,0.731989,0.731315,2.927082,-0.731791,-0.001734,0.018457,0.006330,
0.029909,0.010043,0.026233,-0.049942,-2.006594,0.025637,-0.111627,0.028863,0.013602,0.002324,-9.881274,-0.001892,0.014250,0.006268,-0.002032,0.016245,0.006661,0.009398,-0.028332,1.538656,0.718252,0.013229,-0.006908,0.695623,0.732717,0.731096,0.732141,0.731210,2.927164,-0.731800,-0.001799,0.019370,0.006335,
0.039953,0.010044,0.026335,-0.050276,-2.006387,0.025116,-0.108957,0.028291,0.010745,0.005233,-9.871264,-0.001858,0.016434,0.006803,-0.002212,0.017889,0.005807,0.009383,-0.028217,1.538633,0.718261,0.013184,-0.006872,0.695615,0.732358,0.731436,0.731834,0.731535,2.927164,-0.731807,-0.001864,0.020265,0.006340,
0.049850,0.009897,0.026532,-0.050857,-2.005981,0.024114,-0.103610,0.027210,0.007641,-0.004140,-9.875141,-0.002751,0.017528,0.005952,-0.002893,0.017436,0.005314,0.009341,-0.027965,1.538582,0.718281,0.013081,-0.006796,0.695597,0.732611,0.731223,0.732311,0.731084,2.927228,-0.731812,-0.001901,0.020771,0.006345,
0.059892,0.010042,0.026628,-0.051105,-2.005782,0.023595,-0.100973,0.026659,0.021318,0.005700,-9.874173,-0.003823,0.018341,0.005627,-0.004121,0.019763,0.006171,0.009311,-0.027835,1.538550,0.718293,0.013025,-0.006760,0.695586,0.732362,0.731508,0.732304,0.731074,2.927249,-0.731820,-0.002013,0.022553,0.006355,
0.069855,0.009963,0.026720,-0.051341,-2.005586,0.023065,-0.098247,0.026098,0.015154,0.002098,-9.883373,-0.004128,0.019602,0.006238,-0.004532,0.019916,0.004858,0.009278,-0.027695,1.538525,0.718302,0.012964,-0.006721,0.695578,0.732457,0.731439,0.732362,0.731036,2.927294,-0.731822,-0.002012,0.023313,0.006360,
0.079910,0.010055,0.026810,-0.051566,-2.005394,0.022579,-0.095617,0.025476,0.012382,-0.000402,-9.871187,-0.004248,0.019661,0.005498,-0.003168,0.021737,0.005529,0.009244,-0.027553,1.538497,0.718313,0.012903,-0.006682,0.695568,0.732724,0.731173,0.732274,0.731119,2.927289,-0.731826,-0.001965,0.023830,0.006366,
0.089894,0.009984,0.026898,-0.051780,-2.005204,0.022106,-0.093019,0.024948,0.017106,0.002501,-9.878206,-0.003398,0.021007,0.006531,-0.002536,0.022044,0.005499,0.009217,-0.027401,1.538480,0.718321,0.012840,-0.006637,0.695562,0.732471,0.731433,0.731896,0.731502,2.927303,-0.731819,-0.001977,0.024823,0.006371,
