Scenario,Controller,Pos. RMSE [m],Head. RMSE [rad],Max Pos. Err [m],Effort Mean,Time [ms]
nominal,Analytical-NMPC,0.1332,0.8016,0.5108,20.09,0.79
nominal,NMPC+PINN,0.1332,0.8016,0.5108,20.09,1.37
nominal,NMPC+SINDy,1.9070,1.4479,3.8110,64.60,1.82
nominal,NMPC+GP,2.1746,1.6740,3.8157,55.16,3.20
current_25pct,Analytical-NMPC,0.2289,0.7932,0.7391,18.28,0.87
current_25pct,NMPC+PINN,0.2289,0.7932,0.7391,18.28,1.36
current_25pct,NMPC+SINDy,1.3229,1.4135,2.9351,64.46,1.69
current_25pct,NMPC+GP,1.5376,1.9397,2.8505,54.22,3.14
param_50pct,Analytical-NMPC,11.3788,0.8902,19.6882,50.28,0.85
param_50pct,NMPC+PINN,11.3788,0.8902,19.6882,50.28,1.42
param_50pct,NMPC+SINDy,11.6857,1.8501,19.7371,67.81,1.88
param_50pct,NMPC+GP,11.5881,1.7980,19.7858,67.13,3.13
